customer_id,name,city,purchase_amount,purchase_date,product_category,payment_method,rating
1,Customer_1,phoenix,3108.28,2022-01-01 00:00:00,home,paypal,4.0
2,Customer_2,houston,4302.3,2022-01-01 01:00:00,electronics,credit card,3.0
3,Customer_3,chicago,202.89,2022-01-01 02:00:00,clothing,cash,3.0
4,Customer_4,los angeles,4454.77,2022-01-01 03:00:00,home,paypal,1.0
5,Customer_5,houston,4444.55,2022-01-01 04:00:00,home,cash,4.0
6,Customer_6,los angeles,4164.04,2022-01-01 05:00:00,home,paypal,2.0
7,Customer_7,new york,2508.34,2022-01-01 06:00:00,clothing,cash,2.0
8,Customer_8,los angeles,1856.93,2022-01-01 07:00:00,home,cash,2.0
9,Customer_9,new york,1941.95,2022-01-01 08:00:00,books,paypal,5.0
10,Customer_10,los angeles,1104.5,2022-01-01 09:00:00,home,credit card,4.0
11,Customer_11,houston,1237.42,2022-01-01 10:00:00,home,credit card,5.0
12,Customer_12,chicago,307.72,2022-01-01 11:00:00,home,credit card,3.0
13,Customer_13,los angeles,1187.19,2022-01-01 12:00:00,books,credit card,3.0
14,Customer_14,new york,4834.71,2022-01-01 13:00:00,clothing,paypal,3.0
15,Customer_15,phoenix,794.86,2022-01-01 14:00:00,books,credit card,5.0
16,Customer_16,new york,4445.55,2022-01-01 15:00:00,books,paypal,2.0
17,Customer_17,houston,4662.98,2022-01-01 16:00:00,books,credit card,4.0
18,Customer_18,phoenix,3907.9,2022-01-01 17:00:00,electronics,paypal,3.0
19,Customer_19,chicago,3857.35,2022-01-01 18:00:00,clothing,credit card,5.0
20,Customer_20,houston,801.26,2022-01-01 19:00:00,electronics,credit card,3.0
21,Customer_21,new york,4687.04,2022-01-01 20:00:00,books,credit card,2.0
22,Customer_22,phoenix,3495.74,2022-01-01 21:00:00,electronics,credit card,4.0
23,Customer_23,houston,4161.45,2022-01-01 22:00:00,clothing,paypal,3.0
24,Customer_24,houston,1029.13,2022-01-01 23:00:00,electronics,paypal,4.0
25,Customer_25,houston,4457.97,2022-01-02 00:00:00,home,credit card,4.0
26,Customer_26,chicago,3907.06,2022-01-02 01:00:00,home,paypal,5.0
27,Customer_27,phoenix,2531.895,2022-01-02 02:00:00,books,cash,3.0
28,Customer_28,phoenix,1014.83,2022-01-02 03:00:00,books,paypal,1.0
29,Customer_29,new york,1293.63,2022-01-02 04:00:00,clothing,cash,2.0
30,Customer_30,los angeles,844.16,2022-01-02 05:00:00,clothing,credit card,2.0
31,Customer_31,chicago,4658.6,2022-01-02 06:00:00,books,paypal,2.0
32,Customer_32,houston,3222.72,2022-01-02 07:00:00,books,cash,1.0
33,Customer_33,chicago,4521.06,2022-01-02 08:00:00,books,paypal,3.0
34,Customer_34,los angeles,2592.57,2022-01-02 09:00:00,electronics,paypal,5.0
35,Customer_35,houston,2925.85,2022-01-02 10:00:00,home,cash,3.0
36,Customer_36,unknown,2892.84,2022-01-02 11:00:00,electronics,credit card,1.0
37,Customer_37,chicago,2286.17,2022-01-02 12:00:00,electronics,credit card,2.0
38,Customer_38,new york,1232.42,2022-01-02 13:00:00,clothing,cash,3.0
39,Customer_39,los angeles,764.42,2022-01-02 14:00:00,electronics,cash,1.0
40,Customer_40,phoenix,3235.42,2022-01-02 15:00:00,books,cash,3.0
41,Customer_41,new york,4791.85,2022-01-02 16:00:00,books,cash,3.0
42,Customer_42,chicago,508.1,2022-01-02 17:00:00,books,credit card,3.0
43,Customer_43,houston,645.42,2022-01-02 18:00:00,electronics,cash,3.0
44,Customer_44,houston,4453.22,2022-01-02 19:00:00,books,paypal,2.0
45,Customer_45,houston,412.86,2022-01-02 20:00:00,electronics,paypal,3.0
46,Customer_46,phoenix,4514.62,2022-01-02 21:00:00,books,credit card,4.0
47,Customer_47,new york,3284.29,2022-01-02 22:00:00,clothing,credit card,3.0
